id;article;sku;name;barcode;barcodes;category_id;description_category_id;type_id;primary_image;images;created_at;visible;is_kgt;has_discounted_item;has_price;has_stock;state;moderate_status;state_name;state_description;is_failed_validate;errors;state_updated_at;link;
184;99166;1119371598;name 184;4673745000305;['4673745000305'];2733270;79476538;91458;https://.oz.com/mtl-t/67;['https://.oz.com/mlt-s/6720809032.jpg', 'https://.oz.com/mlt-y/6720809038.jpg', 'https://.oz.com/mlt-o/6720809028.jpg', 'https://.oz.com/mlt-h/6720809021.jpg', 'https://.oz.com/mlt-1/6720809041.jpg', 'https://.oz.com/mlt-z/6720809039.jpg', 'https://.oz.com/mlt-x/6720809037.jpg', 'https://.oz.com/mlt-d/6720809017.jpg', 'https://.oz.com/mlt-p/6720809029.jpg', 'https://.oz.com/mlt-j/6720809023.jpg', 'https://.oz.com/mlt-4/6720803608.jpg', 'https://.oz.com/mlt-1-b/6919351823.jpg', 'https://.oz.com/mlt-e/6720803618.jpg', 'https://.oz.com/mlt-i/6720803622.jpg'];2023-07-31T08:42:16.575644Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2024-02-09T09:22:59.719591Z;https://www.ozon.ru/product/11193;
185;99167;1119374756;name 185;4673745000312;['4673745000312'];2733270;79476538;91458;https://.oz.com/mtl-v/67;['https://.oz.com/mlt-1/6720811993.jpg', 'https://.oz.com/mlt-r/6720812019.jpg', 'https://.oz.com/mlt-l/6720812013.jpg', 'https://.oz.com/mlt-9/6720812037.jpg', 'https://.oz.com/mlt-v/6720811987.jpg', 'https://.oz.com/mlt-0/6720812028.jpg', 'https://.oz.com/mlt-1/6720812029.jpg', 'https://.oz.com/mlt-9/6720803613.jpg', 'https://.oz.com/mlt-u/6720812022.jpg', 'https://.oz.com/mlt-n/6720812015.jpg', 'https://.oz.com/mlt-1-b/6919351823.jpg', 'https://.oz.com/mlt-4/6720803608.jpg', 'https://.oz.com/mlt-e/6720803618.jpg', 'https://.oz.com/mlt-i/6720803622.jpg'];2023-07-31T08:50:15.398554Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2024-02-09T09:22:35.817224Z;https://www.ozon.ru/product/11193;
186;99168;1119376134;name 186;4673745000329;['4673745000329'];2733270;79476538;91458;https://.oz.com/mtl-o/67;['https://.oz.com/mlt-k/6720815432.jpg', 'https://.oz.com/mlt-q/6720815438.jpg', 'https://.oz.com/mlt-s/6720815440.jpg', 'https://.oz.com/mlt-3/6720803607.jpg', 'https://.oz.com/mlt-u/6720815442.jpg', 'https://.oz.com/mlt-r/6720815439.jpg', 'https://.oz.com/mlt-y/6720815446.jpg', 'https://.oz.com/mlt-9/6720803613.jpg', 'https://.oz.com/mlt-m/6720815434.jpg', 'https://.oz.com/mlt-t/6720815441.jpg', 'https://.oz.com/mlt-1-b/6919351823.jpg', 'https://.oz.com/mlt-4/6720803608.jpg', 'https://.oz.com/mlt-e/6720803618.jpg', 'https://.oz.com/mlt-i/6720803622.jpg'];2023-07-31T08:55:57.950081Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2024-02-09T09:22:02.422801Z;https://www.ozon.ru/product/11193;
187;99170;1124225418;name 187;4673745000336;['4673745000336'];2733270;79476538;91458;https://.oz.com/mtl-q/67;[];2023-07-31T09:01:37.722129Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;price_sent;approved;ready to sale;out of stock;ÀŒ∆‹;[];2023-08-24T11:03:26.957888Z;https://www.ozon.ru/product/11242;
188;99173;1119379479;name 188;4673745000671;['4673745000671'];2733270;79476538;91458;https://.oz.com/mtl-3/67;['https://.oz.com/mlt-k/6720815432.jpg', 'https://.oz.com/mlt-q/6720815438.jpg', 'https://.oz.com/mlt-s/6720815440.jpg', 'https://.oz.com/mlt-3/6720803607.jpg', 'https://.oz.com/mlt-u/6720815442.jpg', 'https://.oz.com/mlt-r/6720815439.jpg', 'https://.oz.com/mlt-4/6720818044.jpg', 'https://.oz.com/mlt-9/6720803613.jpg', 'https://.oz.com/mlt-m/6720815434.jpg', 'https://.oz.com/mlt-u/6720818034.jpg', 'https://.oz.com/mlt-4/6720803608.jpg', 'https://.oz.com/mlt-1-b/6919351823.jpg', 'https://.oz.com/mlt-e/6720803618.jpg', 'https://.oz.com/mlt-i/6720803622.jpg'];2023-07-31T09:09:46.470883Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2024-02-09T09:21:44.417712Z;https://www.ozon.ru/product/11193;
189;08005;1157510460;name 189;4673745000169;['4673745000169'];4539303;17028653;92147;https://.oz.com/mtl-9/67;['https://.oz.com/mlt-x/6738975717.jpg', 'https://.oz.com/mlt-7/6738975727.jpg', 'https://.oz.com/mlt-8/6738975692.jpg', 'https://.oz.com/mlt-t/6738975713.jpg', 'https://.oz.com/mlt-3/6738975723.jpg', 'https://.oz.com/mlt-s/6738975712.jpg', 'https://.oz.com/mlt-2/6738975722.jpg', 'https://.oz.com/mlt-w/6738975716.jpg', 'https://.oz.com/mlt-8/6738975728.jpg', 'https://.oz.com/mlt-4/6738975724.jpg'];2023-08-22T10:39:51.216481Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;price_sent;approved;ready to sale;out of stock;ÀŒ∆‹;[];2023-09-21T20:20:12.071559Z;https://www.ozon.ru/product/11575;
190;08006;1157510803;name 190;4673745000176;['4673745000176'];4539303;17028653;92147;https://.oz.com/mtl-4/67;['https://.oz.com/mlt-h/6738976997.jpg', 'https://.oz.com/mlt-f/6738976959.jpg', 'https://.oz.com/mlt-b/6738976955.jpg', 'https://.oz.com/mlt-n/6738977003.jpg', 'https://.oz.com/mlt-a/6738976954.jpg', 'https://.oz.com/mlt-l/6738977001.jpg', 'https://.oz.com/mlt-j/6738976999.jpg', 'https://.oz.com/mlt-d/6738976957.jpg', 'https://.oz.com/mlt-p/6738977005.jpg', 'https://.oz.com/mlt-q/6738977006.jpg'];2023-08-22T10:43:34.006893Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;price_sent;approved;ready to sale;out of stock;ÀŒ∆‹;[];2023-09-22T07:07:30.169414Z;https://www.ozon.ru/product/11575;
191;08007;1157516248;name 191;4673745000183;['4673745000183'];4539303;17028653;92147;https://.oz.com/mtl-l/67;['https://.oz.com/mlt-h/6738976997.jpg', 'https://.oz.com/mlt-m/6738978982.jpg', 'https://.oz.com/mlt-r/6738978987.jpg', 'https://.oz.com/mlt-n/6738977003.jpg', 'https://.oz.com/mlt-o/6738978984.jpg', 'https://.oz.com/mlt-t/6738978989.jpg', 'https://.oz.com/mlt-s/6738978988.jpg', 'https://.oz.com/mlt-d/6738976957.jpg', 'https://.oz.com/mlt-p/6738978985.jpg', 'https://.oz.com/mlt-q/6738977006.jpg'];2023-08-22T10:50:09.445141Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;price_sent;approved;ready to sale;out of stock;ÀŒ∆‹;[];2023-09-22T07:08:10.594527Z;https://www.ozon.ru/product/11575;
192;08008;1157519963;name 192;4673745000190;['4673745000190'];4539303;17028653;92147;https://.oz.com/mtl-7/67;['https://.oz.com/mlt-h/6738976997.jpg', 'https://.oz.com/mlt-m/6738981070.jpg', 'https://.oz.com/mlt-n/6738977003.jpg', 'https://.oz.com/mlt-g/6738981136.jpg', 'https://.oz.com/mlt-2/6738981086.jpg', 'https://.oz.com/mlt-t/6738978989.jpg', 'https://.oz.com/mlt-4/6738981052.jpg', 'https://.oz.com/mlt-s/6738978988.jpg', 'https://.oz.com/mlt-p/6738977005.jpg', 'https://.oz.com/mlt-q/6738977006.jpg'];2023-08-22T10:52:58.890908Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;price_sent;approved;ready to sale;out of stock;ÀŒ∆‹;[];2023-09-22T07:08:12.707586Z;https://www.ozon.ru/product/11575;
193;07007;1148009146;name 193;4673745000206;['4673745000206'];4539303;17028653;971437067;https://.oz.com/mtl-g/67;['https://.oz.com/mlt-l/6734797077.jpg', 'https://.oz.com/mlt-h/6734797073.jpg', 'https://.oz.com/mlt-x/6734797089.jpg', 'https://.oz.com/mlt-0/6734797092.jpg', 'https://.oz.com/mlt-o/6734797080.jpg', 'https://.oz.com/mlt-i/6734797074.jpg', 'https://.oz.com/mlt-m/6734797078.jpg', 'https://.oz.com/mlt-n/6734797079.jpg', 'https://.oz.com/mlt-k/6734797076.jpg', 'https://.oz.com/mlt-j/6734797075.jpg', 'https://.oz.com/mlt-p/6734797081.jpg', 'https://.oz.com/mlt-v/6734797087.jpg', 'https://.oz.com/mlt-w/6734797088.jpg'];2023-08-22T11:09:28.834131Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2023-12-14T12:09:35.722729Z;https://www.ozon.ru/product/11480;
